代码,周期,最新日期,收盘价,评分,等级,L1,H1,L2,首波涨幅%,回调幅度%,阶段,突破前高,均线多头,RSI,量比,止损价
300771,日线,2026-06-17,11.54,75,A,5.95,14.53,12.26,144.2,26.5,LEG1,否,否,45.0,1.38,12.01
300767,日线,2026-06-17,22.1,75,A,7.29,20.94,20.12,187.2,6.0,LEG1,是,否,72.6,1.56,19.72
300766,日线,2026-06-17,24.34,75,A,7.75,33.46,28.9,331.7,17.7,LEG1,否,否,46.8,1.36,28.32
002696,日线,2026-06-17,5.51,75,A,3.34,6.29,6.2,88.3,3.1,LEG1,否,否,41.2,1.85,6.08
600234,日线,2026-06-17,27.3,75,A,1.83,29.91,4.92,1534.4,89.0,LEG1,否,是,64.3,0.81,4.82
603330,日线,2026-06-17,8.05,75,A,4.26,10.35,6.36,143.0,65.5,LEG1,否,是,47.9,0.82,6.23
603318,日线,2026-06-17,9.9,75,A,5.29,15.1,7.33,185.4,79.2,LEG1,否,否,58.7,1.92,7.18
003004,日线,2026-06-17,66.27,75,A,13.02,69.47,17.02,433.6,92.9,LEG1,否,是,62.8,0.63,16.68
002992,日线,2026-06-17,46.75,75,A,34.0,50.49,40.01,48.5,63.6,READY,否,否,59.6,2.2,39.21
002990,日线,2026-06-17,53.84,75,A,16.75,70.8,25.22,322.7,84.3,LEG1,否,否,65.3,1.72,24.72
603610,日线,2026-06-17,18.5,75,A,7.54,19.97,14.81,164.9,41.5,LEG1,否,是,60.6,0.89,14.51
002672,日线,2026-06-17,3.65,75,A,3.18,3.96,4.13,24.5,-21.8,LEG1,否,否,46.9,3.13,4.05
002669,日线,2026-06-17,17.38,75,A,6.73,19.13,11.65,184.2,60.3,LEG1,否,是,57.0,0.95,11.42
002662,日线,2026-06-17,3.65,75,A,2.27,4.02,3.58,77.1,25.1,LEG1,否,否,67.8,1.37,3.51
002655,日线,2026-06-17,38.74,75,A,7.25,44.8,11.64,517.9,88.3,LEG1,否,是,63.1,0.86,11.41
300011,日线,2026-06-17,6.29,75,A,4.32,7.49,7.4,73.4,2.8,LEG1,否,否,53.0,2.47,7.25
300001,日线,2026-06-17,38.82,75,A,15.1,45.0,26.49,198.0,61.9,LEG1,否,是,54.5,0.62,25.96
605378,日线,2026-06-17,16.58,75,A,13.76,20.74,18.99,50.7,25.1,LEG1,否,否,56.0,3.32,18.61
000922,日线,2026-06-17,13.96,75,A,7.31,17.46,11.72,138.9,56.6,READY,否,否,60.7,1.73,11.49
000837,日线,2026-06-17,12.03,75,A,5.88,13.6,10.11,131.3,45.2,LEG1,否,是,45.2,0.89,9.91
300930,日线,2026-06-17,33.35,75,A,12.09,39.88,26.4,229.9,48.5,LEG1,否,是,43.7,0.87,25.87
300923,日线,2026-06-17,23.91,75,A,11.41,29.94,22.04,162.4,42.6,READY,否,否,52.7,1.7,21.6
300921,日线,2026-06-17,21.47,75,A,12.09,30.35,23.78,151.0,36.0,LEG1,否,否,61.4,2.61,23.3
