symbol,entry_idx,exit_idx,entry_time,exit_time,direction,entry_price,exit_price,qty,multiplier,atr_entry,pnl,r_mult,risk_amt,bars_held,exit_reason,equity_at_entry
CU0,5321,5331,2025-10-14 06:00:00,2025-10-15 01:00:00,-1,84770.0,85094.9501451087,1,5.0,603.3064719454449,-1624.7507255434903,-0.35907692051421397,4524.798539590836,10,stop,3064460.5885665948
JM0,5983,5991,2025-10-14 13:00:00,2025-10-15 03:00:00,1,1148.5,1142.3040799795374,2,60.0,12.293249514975553,-743.510402455513,-0.336006630463588,2212.7849126955994,8,stop,3064460.5885665948
LC0,4313,4317,2025-10-15 01:30:00,2025-10-15 05:30:00,1,73400.0,72630.25579738388,2,1.0,591.3134061062476,-1539.4884052322304,-0.8678355613873421,1773.9402183187428,4,stop,3063491.961845415
JM0,5992,5994,2025-10-15 05:30:00,2025-10-15 06:30:00,-1,1135.0,1152.0921926203778,2,60.0,11.73285624027126,-2051.0631144453328,-0.9711867977330987,2111.914123248827,2,stop,3062748.4514429597
IH0,6651,6656,2025-10-15 06:30:00,2025-10-16 05:00:00,1,3001.0,3003.3898320999397,1,300.0,15.68962075895489,716.9496299819002,0.10154620206804191,7060.3293415297,5,stop,3061208.9630377274
IF0,6653,6657,2025-10-16 02:00:00,2025-10-16 05:30:00,1,4595.0,4569.131659900495,1,300.0,28.618014151292794,-7760.502029851523,-0.602612046215571,12878.106368081757,4,stop,3059157.899923282
JM0,5995,6004,2025-10-15 13:00:00,2025-10-16 05:30:00,1,1157.0,1157.51061114812,2,60.0,12.337859023278412,61.273337774400716,0.027590478334834388,2220.814624190114,9,stop,3059157.899923282
SA0,6008,6019,2025-10-16 13:30:00,2025-10-17 13:00:00,-1,1225.0,1221.7814731334577,6,20.0,8.574265862032924,386.22322398508004,0.25024703131681947,1543.3678551659261,11,stop,3052175.620861187
IF0,6661,6668,2025-10-17 02:00:00,2025-10-20 01:30:00,-1,4531.8,4525.49321811572,1,300.0,29.293843911946063,1892.0345652840297,0.1435291752364436,13182.229760375729,7,stop,3052175.620861187
RB0,6020,6026,2025-10-17 13:30:00,2025-10-20 02:30:00,1,3064.0,3052.630089580522,4,10.0,11.705274453410517,-454.79641677911786,-0.6475662155399892,702.3164672046311,6,stop,3052175.620861187
SA0,6020,6027,2025-10-17 13:30:00,2025-10-20 03:00:00,1,1230.0,1222.0083116528424,6,20.0,9.694112107327763,-959.0026016589127,-0.5495905321139348,1744.9401793189975,7,stop,3052561.8440851723
RU0,6020,6030,2025-10-17 13:30:00,2025-10-20 06:30:00,1,14865.0,14819.513622075865,1,10.0,70.90003549824796,-454.86377924135013,-0.4277043267513272,1063.5005324737194,10,stop,3052175.620861187
AO0,5388,5395,2025-10-20 13:30:00,2025-10-21 01:00:00,-1,2785.0,2798.275011143441,2,20.0,12.007011506627743,-531.0004457376454,-0.7370699548406067,720.4206903976647,7,stop,3052585.215852777
RM0,6028,6035,2025-10-20 05:30:00,2025-10-21 01:00:00,-1,2348.0,2359.8910542704143,6,10.0,13.79556931671134,-713.4632562248589,-0.57463155971437,1241.6012385040208,7,stop,3053999.082233677
P0,6031,6036,2025-10-20 13:00:00,2025-10-21 01:30:00,-1,9318.0,9329.93012300595,1,10.0,37.21820210302152,-119.30123005950009,-0.21369692483491343,558.2730315453227,5,stop,3053040.079632018
P0,6039,6042,2025-10-21 03:00:00,2025-10-21 06:30:00,1,9384.0,9341.684150909667,1,10.0,36.49667227497143,-423.1584909033336,-0.7729626922608062,547.4500841245715,3,stop,3051221.450920755
SC0,4925,4927,2025-10-21 14:00:00,2025-10-21 15:00:00,-1,434.7,437.9795406202547,1,1000.0,2.2160804453110536,-3279.540620254693,-0.9865889201491719,3324.1206679665806,2,stop,3050798.292429852
IF0,6677,6684,2025-10-21 02:00:00,2025-10-22 01:30:00,1,4562.8,4552.626816057075,1,300.0,27.47689569276826,-3051.955182877464,-0.2468300169149602,12364.603061745716,7,stop,3051340.7521508145
IH0,6677,6684,2025-10-21 02:00:00,2025-10-22 01:30:00,1,3000.0,2990.0,1,300.0,14.862942827865036,-3000.0,-0.44854284537568184,6688.3242725392665,7,stop,3051340.7521508145
SC0,4928,4938,2025-10-21 15:30:00,2025-10-22 03:00:00,1,440.1,441.8,1,1000.0,2.2632393361327923,1699.9999999999886,0.500757173684449,3394.8590041991883,10,stop,3047518.751809597
AG0,4916,4939,2025-10-21 01:30:00,2025-10-22 05:30:00,-1,11866.0,11366.0,1,15.0,78.48107740057041,7500.0,4.247308324170771,1765.8242415128343,23,stop,3052585.215852777
P0,6043,6064,2025-10-21 13:00:00,2025-10-23 05:30:00,-1,9286.0,9129.31905372785,1,10.0,39.09312413696009,1566.8094627215032,2.671926751504592,586.3968620544015,21,stop,3050798.292429852
IC0,6693,6698,2025-10-23 02:00:00,2025-10-23 06:00:00,-1,6913.4,6968.89732329575,1,200.0,46.37172301925773,-11099.464659149999,-0.7978615656600682,13911.516905777318,5,stop,3050666.7966267196
IF0,6693,6698,2025-10-23 02:00:00,2025-10-23 06:00:00,-1,4522.6,4551.924251288656,1,300.0,22.94207339857395,-8797.27538659663,-0.8521244143660875,10323.933029358277,5,stop,3050666.7966267196
IM0,6297,6302,2025-10-23 02:00:00,2025-10-23 06:00:00,-1,7044.0,7090.981342174536,1,200.0,45.923995214382565,-9396.268434907142,-0.6820158968489455,13777.198564314771,5,stop,3050666.7966267196
SN0,5436,5443,2025-10-23 13:30:00,2025-10-24 01:00:00,1,283850.0,283059.00755157013,1,1.0,800.3530394760688,-790.9924484298681,-0.6588696149619769,1200.5295592141033,7,stop,3022940.597608787
FG0,6068,6075,2025-10-23 13:30:00,2025-10-24 03:00:00,-1,1095.0,1100.1953071611804,6,20.0,8.583051632547111,-623.4368593416457,-0.40353224654035386,1544.94929385848,7,stop,3022940.597608787
FG0,6076,6078,2025-10-24 05:30:00,2025-10-24 06:30:00,1,1104.0,1092.104912853226,6,20.0,8.001724184487982,-1427.4104576128684,-0.9910436694659331,1440.3103532078364,2,stop,3021526.168301015
V0,6068,6079,2025-10-23 13:30:00,2025-10-24 13:00:00,-1,4713.0,4729.206410412852,6,5.0,15.382318198942194,-486.19231238556495,-0.7023826622772045,692.2043189523987,11,stop,3022940.597608787
AU0,4981,4989,2025-10-24 13:30:00,2025-10-24 17:30:00,1,943.82,942.5314810655533,1,1000.0,4.103110912622483,-1288.5189344467562,-0.20935642278689232,6154.666368933725,8,stop,3020098.757843402
AG0,4981,4990,2025-10-24 13:30:00,2025-10-24 18:00:00,1,11427.0,11423.099492069952,1,15.0,56.94974999059057,-58.50761895071628,-0.04566022889409473,1281.3693747882878,9,stop,3020098.757843402
V0,6080,6083,2025-10-24 13:30:00,2025-10-27 01:00:00,1,4736.0,4713.955167435405,6,5.0,15.1628685706529,-661.344976937844,-0.9692463516770021,682.3290856793803,3,stop,3019612.565531017
AO0,5457,5460,2025-10-24 16:00:00,2025-10-27 01:30:00,1,2836.0,2822.6101924179907,2,20.0,9.305502879391241,-535.592303280373,-0.959275227110583,558.3301727634745,3,stop,3019612.565531017
I0,6080,6085,2025-10-24 13:30:00,2025-10-27 02:00:00,1,774.5,773.6638852524353,1,100.0,3.870192952725051,-83.6114747564693,-0.1440263672945082,580.5289429087576,5,stop,3020098.757843402
FG0,6084,6091,2025-10-27 01:30:00,2025-10-27 13:00:00,-1,1090.0,1099.4183601787056,6,20.0,9.15351129169474,-1130.2032214446717,-0.6859560867642974,1647.6320325050528,7,stop,3018265.5389776193
RM0,6084,6091,2025-10-27 01:30:00,2025-10-27 13:00:00,-1,2336.0,2349.3884265981305,6,10.0,14.42055880727547,-803.3055958878322,-0.6189508916661305,1297.8502926547924,7,stop,3018265.5389776193
RB0,6080,6096,2025-10-24 13:30:00,2025-10-28 01:30:00,1,3079.0,3097.7748152198337,4,10.0,10.027385680558021,750.9926087933491,1.2482359688385505,601.6431408334813,16,stop,3020098.757843402
SP0,6090,6098,2025-10-27 06:30:00,2025-10-28 02:30:00,1,5252.0,5234.377060833251,2,10.0,17.53262466364191,-352.45878333498695,-0.6701008169946064,525.9787399092573,8,stop,3016984.9902226445
IC0,6699,6721,2025-10-23 06:30:00,2025-10-28 05:30:00,1,6983.0,7226.99656644233,1,200.0,47.91852937748887,48799.313288465964,3.39460287578517,14375.558813246662,22,stop,3041134.141430291
IF0,6699,6721,2025-10-23 06:30:00,2025-10-28 05:30:00,1,4563.0,4675.051410576297,1,300.0,23.216321318989312,33615.423172889045,3.2176045187269953,10447.34459354519,22,stop,3032336.8660436943
IM0,6304,6325,2025-10-24 01:30:00,2025-10-28 05:30:00,1,7210.0,7331.519012954999,1,200.0,51.8453859954945,24303.80259099984,1.56258216132045,15553.615798648352,21,stop,3022940.597608787
RM0,6092,6102,2025-10-27 13:30:00,2025-10-28 06:30:00,1,2350.0,2360.0,6,10.0,14.395047942462668,600.0,0.4631222274016373,1295.5543148216402,10,stop,3015051.481405312
AO0,5479,5484,2025-10-28 03:00:00,2025-10-28 13:30:00,-1,2826.0,2833.3979122999,2,20.0,10.507841670178466,-295.9164919959949,-0.4693581886814646,630.470500210708,5,stop,3015802.4740141057
SN0,5484,5493,2025-10-28 13:30:00,2025-10-29 02:00:00,1,286250.0,285387.1426815134,1,1.0,1229.4495311698818,-862.8573184866109,-0.4678827375508776,1844.1742967548225,9,stop,3122768.5542831253
V0,6104,6111,2025-10-28 13:30:00,2025-10-29 03:00:00,1,4736.0,4723.437236225195,6,5.0,14.798042514443244,-376.8829132441442,-0.5659651161088028,665.911913149946,7,stop,3122768.5542831253
AO0,5498,5499,2025-10-29 06:30:00,2025-10-29 13:00:00,1,2853.0,2859.50833818609,2,20.0,12.07093668690961,260.33352744359945,0.35944949730084536,724.2562012145765,1,stop,3121232.897559399
